text;label
"    class Person(BaseModel):
        name: str
        age: Optional[int] = None

    person_dict = {""name"": ""Mike""}
    person = Person.model_validate(person_dict)
    print(person.model_dump(exclude_none=True))
    person.age = 3
    print(person.model_dump(exclude_none=True))
Какие подводные камни?";0
"‼️ СРОЧНО ‼️
‼️ ЭТО КАСАЕТСЯ КАЖДОГО В ЭТОЙ ГРУППЕ ‼️

Возраст строго 20+

- Сейчас проходит обучение для новичков.
- Сразу уточняю — ничего общего с наркотиками, инвестициями и прочими сомнительными схемами.
- Быстрый старт — первую прибыль вы получите уже в первый день.
- Всё легально.
- Для работы нужен только смартфон и 1 час свободного времени в день.
- Пошагово доведём вас до результата.
- Мы не берём с вас никаких оплат — работаем за процент. Вы зарабатываете и только потом делитесь с нами.

Пиши ""+""";0
!ро на месяц;0
"""Айтишник"" это такой зонтичный термин как ""медик"". В айтишников записывают в т.ч. всяких макак которых за пару месяцев на курсах научили пандасом пользоваться (есть и такое, да).";0
"""доверие к курсам Владилена Минина"" 😀";0
"""дорогая, прости, но у нас ничего не выйдет - я изучаю фронтенд 24 на 7""";0
"""Здесь могла бы быть реклама вашего тг канала по изучению английского""";0
"""Научиться учиться""? Может быть. Но если представить, что цену полученного знания можно представить в условной единице, не получится ли, что в ВУЗе ты меньше заплатишь? Преподаватели, лабы, сессии, быть может, хакатоны и учебные мероприятия - по-моему, более мощный проводник, чем ты сам, твоя самодисциплина, и разрозненные в книгах/курсах/доках знания";0
"""опытный есть"" и ""готовы показывать рассказывать и обучать в свободное время"" это разные штуки... я в целом могу, но желания нет";0
"""Хочу набирать даже полезные навыки только через анус""";0
"#cv
Меня зовут Дмитрий (можно Дима, не люблю много официальности), недавно окончил школу. Сейчас я студент.

Формат работы: удалённый, part-time

Опыт работы: 2 года

Стек:
- Django + drf + channels
- React (ts) (+next)
- Go
- Docker/docker-compose
- nginx
- git, ci/cd (GitHub Actions)
- Linux (Ubuntu)
- SQLite, MySQL, Redis, PostgreSQL
- bs4, Selenium, requests
- asyncio, aiohttp
- aiogram
- PyTelegramBot
- postman
- C/C++/C# на уровне понимания что написано

Контакты:
TG: @marshmeg
GitHub: https://github.com/MarshMeg";0
"#Golang #Go #вакансия #Elasticsearch #удаленка #PostgreSQL #backend

Ищем backend Go-разработчика (middle/senior)

Это инди-проект, ищем проактивный подход.

Нужны навыки: Golang, Elasticsearch, PostgreSQL.

Задачи: поиск, рефералка, автозаказ с маркетплейсов, синхронизация с базами.

Full-time/Part-time, затем поддержание проектов + привлечение на другие. 

Оплата от 200к.

Для связи: @olya_gigi";0
"#Linux #C++

Здравствуйте!
Для сборки медицинского компьютера на базе Linux на базе платы Rockchip требуется специалист по C++.
Также необходимо разработать программное обеспечение для хранения изображений и видео с соответствующим интерфейсом.";0
"#team #lead #python #go #kafka #poland #warsaw #clouds

On The Spot ищет Team Lead Python Engineer для работы в команде On The Spot в Orca Security — стартап в сфере кибербезопасности и лидер облачных инноваций.

Детали позиции:
🔹 Должность:  Team Lead Python Engineer.
📍Место: Варшава
💼 Контракт: B2B (доступна поддержка Blue Card)
🏠 Формат работы: Гибрид (1-2 раза в неделю)
🗣 Английский: минимум B1+.
Зарплата: $7000-9500 gross (VAT 0%)

Тех стек:
– Python & Go (nice to have)
– FastAPI, PostgreSQL, Kafka, Redis
– Microservices, Docker, Kubernetes
– CI/CD, GitHub Actions
– AWS, GCP, Azure

Пиши в директ, чтобы узнать подробности, и если ты также готов порекомендовать кого-нибудь для этой роли: @AntonRuskevich";0
"#vacancy #FrontendDeveloper #React #Startup #MVP

🚀 Ищу фронтенд-разработчика (React/Next.js) в команду для MVP на долгую коммуникацию.
Проект в сегменте B2B + AI, Перспективы большие, уже есть несколько крупных партнеров, кто инвестирует в проект.

📌 Формат: удалёнка, гибкий график.
📌 Условия: участие на старте за долю в проекте.

Если интересно — пишите в личку";0
"#вакансия #BizDev #BusinessDevelopment #remote

Вакансия: Вакансия: Business Development Manager Web3 (Удаленная работа)
Компания: Мэттер Лабс (Matter Labs)
ЗП: 7500 - 10 800 USD

Основные задачи:
— Идентификация и разработка новых бизнес-возможностей в области блокчейн.
— Анализ рынка, конкурентов и потребностей клиентов для формирования стратегии развития продукта.
— Налаживание и поддержание отношений с ключевыми партнерами, клиентами и инвесторами.
— Сотрудничество с командами продуктового и технического развития для обеспечения соответствия продуктов рыночным требованиям.
— Подготовка и проведение презентаций и переговоров с потенциальными партнерами и клиентами.
— Участие в отраслевых мероприятиях и конференциях для продвижения компании и ее продуктов.

Требования к кандидату:
— Опыт работы в бизнес-развитии или смежных областях не менее 3 лет, предпочтительно в сфере технологий или блокчейна.
— Отличное понимание рынка блокчейн-технологий и децентрализованных финансов.
— Успешный опыт ведения переговоров и заключения партнерских соглашений.
— Высокие аналитические способности и умение работать с большим объемом информации.
— Прекрасные коммуникативные навыки и способность убеждать.
— Способность к самоорганизации, инициативность и целеустремленность.

Мы предлагаем:
— Конкурентоспособную заработную плату от $90,000 до $130,000 в год, в зависимости от опыта и достигнутых результатов.
— Гибкий график работы и полностью удаленную занятость.
— Возможность работать в динамичной и инновационной среде над передовыми проектами.
— Широкие возможности для профессионального и карьерного роста.
— Поддерживающую корпоративную культуру и команду единомышленников

Контакты: limar_sheref";0
"#вакансия #developer #gamedev #fulltime #jun #дляопытных #unity

📌 Вакансия: Unity Developer (Middle)

Задачи:

Разработка и оптимизация core-геймплея.
Системы прогрессии, ежедневных заданий, shop/skins.
Работа с аналитикой и настройкой SDK (Firebase, GameAnalytics).
Оптимизация под мобильные платформы.
Менторство джунов (при желании).

Требования:

Опыт в Unity 2+ года.
Глубокие знания C#, паттернов проектирования.
Опыт с 2D/3D физикой, Addressables, оптимизацией.
Опыт релизов мобильных игр.

Будет плюсом:

Знание архитектурных подходов (MVC/MVVM, ECS).
Опыт работы в hyper-casual студиях.

От нас:

Комфортная атмосфера в небольшой но дружной команде
Удаленная работа
Зарплата от 150 000 р. и выше
Проекты в портфолио

https://hr.beintouch.ai/job_VNCfdGc";0
